ent_1_model,ent_1_handle,ent_1_extra_handles,ent_2_model,ent_2_handle,ent_2_extra_handles
DSS,Identifier,['Subject'],CTDC,case_id,['case']
DSS,Identifier,['Subject'],GDC,id,['case']
DSS,Identifier,['Subject'],ICDC,case_id,['case']
DSS,Identifier,['Subject'],IDC,Patient ID,['file']
DSS,Identifier,['Subject'],PDC,case_id,['case']
DSS,Identifier,['Subject'],CDS,subject_id,['Participant']
DSS,Identifier,['Subject'],CDA,identifier,['Subject']
DSS,Identifier,['Subject'],C2M2,local_id,['biosample']
DSS,Identifier,['Subject'],mCODE,Identifier,['Cancer Patient']
DSS,Type,['Specimen'],GDC,sample_type,['sample']
DSS,Type,['Specimen'],ICDC,physical_sample_type ,['sample']
DSS,Type,['Specimen'],PDC,sample_type,['sample']
DSS,Type,['Specimen'],CDS,sample_type,['Sample Information']
DSS,Type,['Specimen'],CDA,source_material_type,['Specimen']
DSS,Type,['Specimen'],HTAN,biospecimen_type,['Molecular Test']
DSS,Type,['Specimen'],C2M2,assay_type,['biosample']
DSS,Type,['Specimen'],mCODE,Type,['Genomic Specimen']
DSS,Ethnicity,['Subject'],CTDC,ethnicity,['case']
DSS,Ethnicity,['Subject'],GDC,ethnicity,['demographic']
DSS,Ethnicity,['Subject'],IDC,Patients Ethnic Group,['file']
DSS,Ethnicity,['Subject'],PDC,ethnicity,['demographic']
DSS,Ethnicity,['Subject'],CDS,ethnicity,['Participant']
DSS,Ethnicity,['Subject'],CDA,ethnicity,['Subject']
DSS,Ethnicity,['Subject'],HTAN,Ethnicity,['Demographics']
DSS,Ethnicity,['Subject'],C2M2,ethnicity,['subject']
DSS,Race,['Subject'],CTDC,race,['case']
DSS,Race,['Subject'],GDC,race,['demographic']
DSS,Race,['Subject'],PDC,race,['demographic']
DSS,Race,['Subject'],CDS,race,['Participant']
DSS,Race,['Subject'],CDA,race,['Subject']
DSS,Race,['Subject'],HTAN,Race,['Demographics']
DSS,Race,['Subject'],C2M2,race,['subject_race']
DSS,Grade,['Tumor'],GDC,tumor_grade,['diagnosis']
DSS,Grade,['Tumor'],ICDC,histological_grade,['diagnosis']
DSS,Grade,['Tumor'],PDC,tumor_grade,['diagnosis']
DSS,Grade,['Tumor'],CDS,tumor_grade,['Additional Diagnosis Information']
DSS,Grade,['Tumor'],HTAN,tumor_grade,['Diagnosis']
DSS,Grade,['Tumor'],mCODE,Stage,['Primary Cancer Condition']
DSS,Age at Diagnosis,['Subject'],GDC,age_at_diagnosis,['diagnosis']
DSS,Age at Diagnosis,['Subject'],PDC,age_at_diagnosis,['diagnosis']
DSS,Age at Diagnosis,['Subject'],CDS,age_at_diagnosis,['Additional Diagnosis Information']
DSS,Age at Diagnosis,['Subject'],CDA,age_at_diagnosis,['Diagnosis']
DSS,Age at Diagnosis,['Subject'],HTAN,age_at_diagnosis,['Diagnosis']
DSS,general morphology ,['Tissue'],GDC,morphology,['diagnosis']
DSS,general morphology ,['Tissue'],PDC,morphology,['diagnosis']
DSS,general morphology ,['Tissue'],CDS,morphology,['Additional Diagnosis Information']
DSS,general morphology ,['Tissue'],HTAN,Morphology,['Diagnosis']
DSS,general morphology ,['Tissue'],mCODE,Histology Morphology Behavior,['Primary Cancer Condition']
DSS,Format,['File'],ICDC,file_format,['file']
DSS,Format,['File'],PDC,file_format,['file']
DSS,Format,['File'],CDA,file_format,['File']
DSS,Format,['File'],C2M2,id,['file_format']
DSS,Ethnicity,['Subject'],GDC,ethnicity,['clinical']
