ent_1_model,ent_1_handle,ent_1_extra_handles,ent_2_model,ent_2_handle,ent_2_handles_other,ent_2_extra_handles
DSS,,,GDC,site_of_resection_or_biopsy,,Diagnosis
DSS,,,IDC,tcia_tumorLocation,,TCIA
DSS,,,PDC,site_of_resection_or_biopsy,,Diagnosis
DSS,,,CDS,site_of_resection_or_biopsy,,Additional Diagnosis Information
DSS,,,HTAN,site_of_resection_or_biopsy,,Diagnosis
DSS,,,CTDC,clinical_trial_description,,clinical_trial
DSS,,,ICDC,clinical_study_description,,study
DSS,,,PDC,study_description,,Study
DSS,,,CDA,dc:description,,Project
DSS,,,CTDC,disease,,case
DSS,,,GDC,primary_diagnosis,,Diagnosis
DSS,,,ICDC,disease_term,,diagnosis
DSS,,,PDC,primary_diagnosis,,Diagnosis
DSS,,,CDS,primary_diagnosis,,Additional Diagnosis Information
DSS,,,CDA,primary_disease_type,,ResearchSubject
DSS,,,HTAN,primary_diagnosis,,Diagnosis
DSS,,,CTDC,patient_status,,case
DSS,,,GDC,vital_status,,Demographic
DSS,,,ICDC,patient_status,,follow_up
DSS,,,PDC,vital_status,,Demographic
DSS,,,CDS,vital_status,,Diagnosis
DSS,,,HTAN,vital_status,,Demographics
DSS,,,GDC,derived_from (Case),,Sample
DSS,,,ICDC,of_case(case),,sample
DSS,,,PDC,Case,,Sample
DSS,,,CDA,specimen,,ResearchSubject
DSS,,,GDC,days_to_last_follow_up,,Diagnosis
DSS,,,PDC,days_to_last_follow_up,,Diagnosis
DSS,,,CDS,days_to_last_followup,,Additional Diagnosis Information
DSS,,,HTAN,days_to_last_follow_up,,Diagnosis
DSS,,,GDC,days_to_last_known_disease_status,,Diagnosis
DSS,,,PDC,days_to_last_known_disease_status,,Diagnosis
DSS,,,CDS,days_to_last_known_disease_status,,Additional Diagnosis Information
DSS,,,HTAN,days_to_last_known_disease_status,,Diagnosis
DSS,,,GDC,days_to_recurrence,,Diagnosis
DSS,,,PDC,days_to_recurrence,,Diagnosis
DSS,,,CDS,days_to_recurrence,,Additional Diagnosis Information
DSS,,,HTAN,days_to_recurrence,,Diagnosis
DSS,,,GDC,last_known_disease_status,,Diagnosis
DSS,,,PDC,last_known_disease_status,,Diagnosis
DSS,,,CDS,last_known_disease_status,,Additional Diagnosis Information
DSS,,,HTAN,last_known_disease_status,,Diagnosis
DSS,,,mCODE,Status,,Cancer Disease Status Profile
DSS,,,PDC,file_name,,File
DSS,,,CDS,file_name,,File
DSS,,,CDA,rdfs:label,,File
DSS,,,GDC,describes (Case),,Demographic
DSS,,,PDC,Case,,Demographic
DSS,,,GDC,describes (Case),,FollowUp
DSS,,,ICDC,of_case(case),,follow_up
DSS,,,PDC,Case,,FollowUp
DSS,,,GDC,name,,Project
DSS,,,PDC,name,,Project
DSS,,,CDA,rdfs:label,,Project
DSS,,,GDC,tissue_type,,Sample
DSS,,,PDC,tissue_type,,Sample
DSS,,,CDA,specimen_type,,Specimen
DSS,,,ICDC,file_size,,file
DSS,,,PDC,file_size,,File
DSS,,,CDA,byte_size,,File
DSS,,,ICDC,md5sum,,file
DSS,,,PDC,md5sum,,File
DSS,,,CDA,checksum,,File
DSS,,,ICDC,file_name,,file
DSS,,,PDC,original_file_name,,File
DSS,,,CDA,file,,ResearchSubject
DSS,,,GDC,derived_from (Sample),,Aliquot
DSS,,,PDC,Sample,,Aliquot
DSS,,,GDC,derived_from (Portion),,Analyte
DSS,,,PDC,Portion,,Analyte
DSS,,,GDC,derived_from (Sample),,Analyte
DSS,,,PDC,Sample,,Analyte
DSS,,,GDC,analyte_type,,Analyte
DSS,,,PDC,analyte_type,,Analyte
DSS,,,PDC,status,,Case
DSS,,,GDC,tissue_or_organ_of_origin,,Diagnosis
DSS,,,PDC,tissue_or_organ_of_origin,,Diagnosis
DSS,,,HTAN,tissue_or_organ_of_origin,,Diagnosis
DSS,,,ICDC,file_location,,file
DSS,,,PDC,file_location,,File
DSS,,,GDC,days_to_follow_up,,FollowUp
DSS,,,PDC,days_to_follow_up,,FollowUp
DSS,,,HTAN,days_to_follow_up,,Follow-Up
DSS,,,GDC,derived_from (Sample),,Portion
DSS,,,PDC,Sample,,Portion
DSS,,,CTDC,clinical_trial_designation,,clinical_trial
DSS,,,ICDC,clinical_study_designation,,study
DSS,,,GDC,describes (Diagnosis),,Treatment
DSS,,,PDC,Diagnosis,,Treatment
DSS,,,GDC,disease_type,,Case
DSS,,,PDC,disease_type,,Case
DSS,,,CDS,disease_type,,Diagnosis
DSS,,,CTDC,ENTITY,,case
DSS,,,GDC,ENTITY,,Case
DSS,,,ICDC,,,case
DSS,,,PDC,ENTITY,,Case
DSS,,,GDC,ENTITY,,Diagnosis
DSS,,,ICDC,,,diagnosis
DSS,,,PDC,ENTITY,,Diagnosis
DSS,,,CDA,label,,Diagnosis
DSS,,,GDC,describes (Case),,Diagnosis
DSS,,,ICDC,of_case(case),,diagnosis
DSS,,,PDC,Case,,Diagnosis
DSS,,,CDA,hasDiagnosis?     [Diagnosis],,Patient
DSS,,,GDC,ENTITY,,Sample
DSS,,,ICDC,,,sample
DSS,,,PDC,ENTITY,,Sample
DSS,,,GDC,lost_to_followup,,Case
DSS,,,PDC,lost_to_followup,,Case
DSS,,,GDC,ENTITY,,Demographic
DSS,,,ICDC,,,demographic
DSS,,,PDC,ENTITY,,Demographic
DSS,,,GDC,ENTITY,,Program
DSS,,,ICDC,,,program
DSS,,,PDC,ENTITY,,Program
DSS,,,CTDC,ENTITY,,clinical_trial
DSS,,,ICDC,,,study
DSS,,,PDC,ENTITY,,Study
DSS,,,CDA,hasSexAssignedAtBirth,,Patient
DSS,,,GDC,submitter_id,,Case
DSS,,,PDC,case_submitter_id,,Case
DSS,,,GDC,id,,Aliquot
DSS,,,PDC,aliquot_id,,Aliquot
DSS,,,GDC,submitter_id,,Aliquot
DSS,,,PDC,aliquot_submitter_id,,Aliquot
DSS,,,GDC,ref:GDC:ubiquitous_properties,,Aliquot
DSS,,,PDC,status,,Aliquot
DSS,,,GDC,member_of (Project),,Case
DSS,,,PDC,Project,,Case
DSS,,,ICDC,went_off_study(off_study),,case
DSS,,,ICDC,went_off_treatment(off_treatment),,case
DSS,,,GDC,progression_or_recurrence,,Diagnosis
DSS,,,PDC,progression_or_recurrence,,Diagnosis
DSS,,,HTAN,progression_or_recurrence,,Diagnosis
DSS,,,GDC,describes (Case),,Exposure
DSS,,,PDC,Case,,Exposure
DSS,,,GDC,describes (Case),,FamilyHistory
DSS,,,PDC,Case,,FamilyHistory
DSS,,,ICDC,,,file
DSS,,,PDC,ENTITY,,File
DSS,,,GDC,member_of (Program),,Project
DSS,,,PDC,Program,,Project
DSS,,,GDC,composition,,Sample
DSS,,,PDC,composition,,Sample
DSS,,,GDC,derived_from (Case),,ClinicalSupplement
DSS,,,GDC,file_name,,BiospecimenSupplement
DSS,,,CTDC,ctep_category,,case
DSS,,,ICDC,breed,,demographic
DSS,,,GDC,file_size,,ProteinExpression
DSS,,,GDC,md5sum,,ProteinExpression
DSS,,,GDC,platform,,ProteinExpression
DSS,,,PDC,Program,,Protocol
DSS,,,PDC,1d_chromatography_type,,Protocol
DSS,,,GDC,library_selection,,ReadGroup
DSS,,,GDC,library_strategy,,ReadGroup
DSS,,,GDC,platform,,ReadGroup
DSS,,,GDC,read_group_name,,ReadGroup
DSS,,,GDC,read_length,,ReadGroup
DSS,,,GDC,sequencing_center,,ReadGroup
DSS,,,GDC,derived_from (Portion),,Slide
DSS,,,GDC,derived_from (Sample),,Slide
DSS,,,GDC,section_location,,Slide
DSS,,,PDC,itraq_115,,StudyRunMetadata
DSS,,,PDC,itraq_119,,StudyRunMetadata
DSS,,,PDC,tmt_127c,,StudyRunMetadata
DSS,,,PDC,tmt_127n,,StudyRunMetadata
DSS,,,PDC,tmt_128c,,StudyRunMetadata
